"Date","VIX","SNP"
2000-01-03,24.2099990844727,1455.21997070312
2000-01-04,27.0100002288818,1399.42004394531
2000-01-05,26.4099998474121,1402.10998535156
2000-01-06,25.7299995422363,1403.44995117188
2000-01-07,21.7199993133545,1441.46997070312
2000-01-10,21.7099990844727,1457.59997558594
2000-01-11,22.5,1438.56005859375
2000-01-12,22.8400001525879,1432.25
2000-01-13,21.7099990844727,1449.68005371094
2000-01-14,19.6599998474121,1465.15002441406
2000-01-18,21.5,1455.14001464844
2000-01-19,21.7199993133545,1455.90002441406
2000-01-20,21.75,1445.56994628906
2000-01-21,20.8199996948242,1441.35998535156
2000-01-24,24.0699996948242,1401.53002929688
2000-01-25,23.0200004577637,1410.03002929688
2000-01-26,23.0300006866455,1404.08996582031
2000-01-27,23.5400009155273,1398.56005859375
2000-01-28,26.1399993896484,1360.16003417969
2000-01-31,24.9500007629395,1394.4599609375
2000-02-01,23.4500007629395,1409.28002929688
2000-02-02,23.1200008392334,1409.11999511719
2000-02-03,22.0100002288818,1424.96997070312
2000-02-04,21.5400009155273,1424.36999511719
2000-02-07,22.7900009155273,1424.23999023438
2000-02-08,21.25,1441.71997070312
2000-02-09,22.8999996185303,1411.7099609375
2000-02-10,23.0699996948242,1416.82995605469
2000-02-11,24.4200000762939,1387.11999511719
2000-02-14,24.3799991607666,1389.93994140625
2000-02-15,22.9200000762939,1402.05004882812
2000-02-16,23.5100002288818,1387.67004394531
2000-02-17,23.1700000762939,1388.26000976562
2000-02-18,26,1346.08996582031
2000-02-22,25.8600006103516,1352.17004394531
2000-02-23,23.8899993896484,1360.68994140625
2000-02-24,24.3799991607666,1353.43005371094
2000-02-25,25.2000007629395,1333.35998535156
2000-02-28,24.6800003051758,1348.05004882812
2000-02-29,23.3700008392334,1366.42004394531
2000-03-01,21.6399993896484,1379.18994140625
2000-03-02,21.0599994659424,1381.76000976562
2000-03-03,19.2099990844727,1409.17004394531
2000-03-06,21.5,1391.28002929688
2000-03-07,24.3099994659424,1355.61999511719
2000-03-08,23.8199996948242,1366.69995117188
2000-03-09,22.2099990844727,1401.68994140625
2000-03-10,21.2399997711182,1395.06994628906
2000-03-13,22.8500003814697,1383.61999511719
2000-03-14,24.4099998474121,1359.15002441406
2000-03-15,22.3400001525879,1392.14001464844
2000-03-16,20.7700004577637,1458.46997070312
2000-03-17,22.3700008392334,1464.46997070312
2000-03-20,22.9599990844727,1456.63000488281
2000-03-21,21.7000007629395,1493.86999511719
2000-03-22,21.4899997711182,1500.64001464844
2000-03-23,22.2600002288818,1527.34997558594
2000-03-24,23.3099994659424,1527.4599609375
2000-03-27,24.5300006866455,1523.85998535156
2000-03-28,24.8600006103516,1507.72998046875
2000-03-29,24.1000003814697,1508.52001953125
2000-03-30,25.4699993133545,1487.92004394531
2000-03-31,24.1100006103516,1498.57995605469
2000-04-03,24.0300006866455,1505.96997070312
2000-04-04,27.1200008392334,1494.72998046875
2000-04-05,28.4099998474121,1487.36999511719
2000-04-06,27.1499996185303,1501.33996582031
2000-04-07,24.3899993896484,1516.34997558594
2000-04-10,25.9899997711182,1504.4599609375
2000-04-11,27.25,1500.58996582031
2000-04-12,28.9799995422363,1467.17004394531
2000-04-13,29.3999996185303,1440.51000976562
2000-04-14,33.4900016784668,1356.56005859375
2000-04-17,28.9500007629395,1401.43994140625
2000-04-18,26.1200008392334,1441.60998535156
2000-04-19,27.0200004577637,1427.46997070312
2000-04-20,25.8500003814697,1434.5400390625
2000-04-24,27.3700008392334,1429.85998535156
2000-04-25,25.2399997711182,1477.43994140625
2000-04-26,26.9699993133545,1460.98999023438
2000-04-27,26.1900005340576,1464.92004394531
2000-04-28,26.2000007629395,1452.43005371094
2000-05-01,25.8799991607666,1468.25
2000-05-02,28.5,1446.2900390625
2000-05-03,31.6299991607666,1415.09997558594
2000-05-04,30.7700004577637,1409.56994628906
2000-05-05,27.5300006866455,1432.63000488281
2000-05-08,28.2000007629395,1424.17004394531
2000-05-09,28.9300003051758,1412.14001464844
2000-05-10,29.8700008392334,1383.05004882812
2000-05-11,27.7600002288818,1407.81005859375
2000-05-12,26.0499992370605,1420.9599609375
2000-05-15,24.8600006103516,1452.35998535156
2000-05-16,24.3400001525879,1466.0400390625
2000-05-17,23.9799995422363,1447.80004882812
2000-05-18,23.9599990844727,1437.2099609375
2000-05-19,25.4400005340576,1406.94995117188
2000-05-22,26,1400.71997070312
2000-05-23,25.8700008392334,1373.85998535156
2000-05-24,24.3199996948242,1399.05004882812
2000-05-25,24.5799999237061,1381.52001953125
2000-05-26,24.4699993133545,1378.02001953125
2000-05-30,23.6200008392334,1422.44995117188
2000-05-31,23.6499996185303,1420.59997558594
2000-06-01,22.3600006103516,1448.81005859375
2000-06-02,21.4799995422363,1477.26000976562
2000-06-05,22.7099990844727,1467.63000488281
2000-06-06,23.0499992370605,1457.83996582031
2000-06-07,22.4799995422363,1471.35998535156
2000-06-08,22.7700004577637,1461.67004394531
2000-06-09,22.1399993896484,1456.94995117188
2000-06-12,22.3199996948242,1446
2000-06-13,21.6700000762939,1469.43994140625
2000-06-14,21.4799995422363,1470.5400390625
2000-06-15,20.6800003051758,1478.72998046875
2000-06-16,20.5,1464.4599609375
2000-06-19,20.6299991607666,1486
2000-06-20,20.8799991607666,1475.94995117188
2000-06-21,20.6100006103516,1479.13000488281
2000-06-22,22,1452.18005371094
